Cruise	Station	Type	yyyy-mm-ddThh:mm:ss.sss	Longitude [degrees_east]	Latitude [degrees_north]	LOCAL_CDI_ID	EDMO_code	Bot. Depth [m]	Pres_Z [dbar]	QV:SEADATANET	Record_No [Dmnless]	QV:SEADATANET	Atten_red [/m]	QV:SEADATANET	CTDCond [S/m]	QV:SEADATANET	chl-a_water_ISfluor_manufctrcal_sensor1 [mg/m^3]	QV:SEADATANET	chl-a_water_ISfluor_sampcal [mg/m^3]	QV:SEADATANET	WC_dissO2_uncalib [umol/l]	QV:SEADATANET	P_sal_CTD [Dmnless]	QV:SEADATANET	WC_temp_CTD [degC]	QV:SEADATANET
0607S	SC06/07/155	*	2007-04-29T09:46:00.000	-0.83483	60.5003	900612	43	111	    2.00	1	        1	1	  0.528	1	 3.763	1	  0.16	1	  0.41	1	310.1	1	35.316	1	 9.197	1
									    3.00	1	        2	1	  0.515	1	 3.763	1	  0.16	1	  0.38	1	309.6	1	35.315	1	 9.197	1
									    4.00	1	        3	1	  0.511	1	 3.763	1	  0.16	1	  0.41	1	309.8	1	35.314	1	 9.195	1
									    5.00	1	        4	1	  0.506	1	 3.763	1	  0.16	1	  0.42	1	310.0	1	35.314	1	 9.191	1
									    6.00	1	        5	1	  0.513	1	 3.762	1	  0.17	1	  0.43	1	310.1	1	35.315	1	 9.180	1
									    7.00	1	        6	1	  0.512	1	 3.762	1	  0.17	1	  0.52	1	310.2	1	35.314	1	 9.176	1
									    8.00	1	        7	1	  0.506	1	 3.761	1	  0.18	1	  0.53	1	310.4	1	35.315	1	 9.167	1
									    9.00	1	        8	1	  0.528	1	 3.760	1	  0.18	1	  0.54	1	310.4	1	35.315	1	 9.159	1
									   10.00	1	        9	1	  2.103	3	 3.760	1	  0.17	1	  0.50	1	310.4	1	35.314	1	 9.158	1
									   11.00	1	       10	1	  3.006	3	 3.760	1	  0.18	1	  0.56	1	310.3	1	35.315	1	 9.158	1
									   12.00	1	       11	1	 17.615	3	 3.760	1	  0.18	1	  0.54	1	310.4	1	35.315	1	 9.153	1
									   13.00	1	       12	1	 54.129	3	 3.759	1	  0.17	1	  0.51	1	310.3	1	35.315	1	 9.149	1
									   14.00	1	       13	1	 55.262	3	 3.759	1	  0.17	1	  0.51	1	311.3	1	35.315	1	 9.144	1
									   15.00	1	       14	1	 55.262	3	 3.744	1	  0.18	1	  0.57	1	308.6	1	35.312	1	 8.986	1
									   16.00	1	       15	1	 55.262	3	 3.727	1	  0.19	1	  0.66	1	306.2	1	35.309	1	 8.816	1
									   17.00	1	       16	1	 55.262	3	 3.722	1	  0.22	1	  0.96	1	304.2	1	35.309	1	 8.755	1
									   18.00	1	       17	1	 55.262	3	 3.716	1	  0.21	1	  0.91	1	303.1	1	35.306	1	 8.695	1
									   19.00	1	       18	1	 55.262	3	 3.715	1	  0.21	1	  0.88	1	302.4	1	35.306	1	 8.691	1
									   20.00	1	       19	1	 53.075	3	 3.714	1	  0.21	1	  0.89	1	302.6	1	35.302	1	 8.682	1
									   21.00	1	       20	1	 55.284	3	 3.713	1	  0.23	1	  1.04	1	302.0	1	35.302	1	 8.672	1
									   22.00	1	       21	1	 55.262	3	 3.713	1	  0.23	1	  1.10	1	300.7	1	35.302	1	 8.671	1
									   23.00	1	       22	1	 55.262	3	 3.713	1	  0.21	1	  0.91	1	301.1	1	35.302	1	 8.669	1
