Cruise	Station	Type	yyyy-mm-ddThh:mm:ss.sss	Longitude [degrees_east]	Latitude [degrees_north]	LOCAL_CDI_ID	EDMO_code	Bot. Depth [m]	Pres_Z [dbar]	QV:SEADATANET	Atten_red [/m]	QV:SEADATANET	Atten_red2 [/m]	QV:SEADATANET	chl-a_water_ISfluor [mg/m^3]	QV:SEADATANET	WC_dissO2 [umol/l]	QV:SEADATANET	AqVolt [V]	QV:SEADATANET	STNephV [V]	QV:SEADATANET	BKBeck [%]	QV:SEADATANET	PotAtten [/m]	QV:SEADATANET	WC_Potemp [degC]	QV:SEADATANET	P_sal_CTD [Dmnless]	QV:SEADATANET	SigTheta [kg/m^3]	QV:SEADATANET	WC_temp_CTD [degC]	QV:SEADATANET
CD105B	CTD38	*	1997-06-14T18:10:00.000	-9.9497	41.4172	866634	43	3220.9	    1.00	1	  0.510	1	  0.514	1	  0.23	1	254.6	1	 0.7148	1	  0.0615	1	107.24	1	 0.5104	1	18.296	1	35.784	1	25.800	1	18.297	1
									    3.00	1	  0.510	1	  0.514	1	  0.31	1	253.4	1	 0.9266	1	  0.0585	1	106.72	1	 0.5103	1	18.286	1	35.795	1	25.811	1	18.287	1
									    5.00	1	  0.506	1	  0.510	1	  0.23	1	249.8	1	 0.6798	1	  0.0587	1	105.20	1	 0.5063	1	18.291	1	35.808	1	25.820	1	18.292	1
									    7.00	1	  0.507	1	  0.510	1	  0.16	1	247.6	1	 0.5218	1	  0.0580	1	104.25	1	 0.5067	1	18.273	1	35.812	1	25.827	1	18.274	1
									    9.00	1	  0.509	1	  0.513	1	  0.11	1	247.0	1	 0.3499	1	  0.0578	1	103.87	1	 0.5093	1	18.195	1	35.820	1	25.853	1	18.196	1
									   11.00	1	  0.512	1	  0.516	1	  0.16	1	251.2	1	 0.5491	1	  0.0597	1	105.12	1	 0.5119	1	17.946	1	35.821	1	25.916	1	17.948	1
									   13.00	1	  0.512	1	  0.517	1	  0.10	1	252.1	1	 0.2305	1	  0.0588	1	105.46	1	 0.5123	1	17.916	1	35.831	1	25.930	1	17.918	1
									   15.00	1	  0.511	1	  0.515	1	  0.09	1	251.2	1	 0.1932	1	  0.0602	1	105.06	1	 0.5111	1	17.908	1	35.833	1	25.934	1	17.911	1
									   17.00	1	  0.505	1	  0.508	1	  0.19	1	252.5	1	 0.6396	1	  0.0646	1	105.46	1	 0.5045	1	17.841	1	35.829	1	25.948	1	17.844	1
									   19.00	1	  0.503	1	  0.507	1	  0.23	1	251.9	1	 0.7703	1	  0.0626	1	105.11	1	 0.5028	1	17.794	1	35.839	1	25.967	1	17.797	1
									   21.00	1	  0.503	1	  0.506	1	  0.25	1	251.8	1	 0.8299	1	  0.0621	1	105.09	1	 0.5031	1	17.801	1	35.841	1	25.967	1	17.805	1
									   23.00	1	  0.503	1	  0.507	1	  0.19	1	251.9	1	 0.6314	1	  0.0621	1	105.11	1	 0.5034	1	17.776	1	35.838	1	25.971	1	17.779	1
									   25.00	1	  0.500	1	  0.502	1	  0.18	1	252.2	1	 0.6268	1	  0.0612	1	105.01	1	 0.4998	1	17.662	1	35.841	1	26.001	1	17.666	1
									   27.00	1	  0.486	1	  0.488	1	  0.10	1	253.5	1	 0.3011	1	  0.0638	1	104.83	1	 0.4857	1	17.305	1	35.834	1	26.082	1	17.310	1
									   29.00	1	  0.478	1	  0.481	1	  0.14	1	254.6	1	 0.4738	1	  0.0645	1	105.02	1	 0.4781	1	17.170	1	35.844	1	26.122	1	17.175	1
									   31.00	1	  0.474	1	  0.478	1	  0.24	1	255.6	1	 0.7875	1	  0.0630	1	105.07	1	 0.4742	1	17.003	1	35.843	1	26.162	1	17.008	1
									   33.00	1	  0.482	1	  0.487	1	  0.35	1	255.9	1	 1.0187	1	  0.0655	1	104.90	1	 0.4822	1	16.839	1	35.852	1	26.208	1	16.844	1
									   35.00	1	  0.503	1	  0.510	1	  0.47	1	259.2	1	 1.1948	1	  0.0735	1	105.26	1	 0.5032	1	16.348	1	35.851	8	26.323	1	16.354	1
									   37.00	1	  0.526	1	  0.533	1	  0.60	1	261.7	1	 1.3543	1	  0.0807	1	105.47	1	 0.5258	1	15.976	1	35.850	1	26.408	1	15.982	1
									   39.00	1	  0.545	1	  0.551	1	  0.79	1	262.5	1	 1.5143	1	  0.0856	1	105.40	1	 0.5445	1	15.776	1	35.857	1	26.459	1	15.783	1
									   41.00	1	  0.551	1	  0.556	1	  0.98	1	263.6	1	 1.6404	1	  0.0887	1	105.72	1	 0.5508	1	15.715	1	35.863	1	26.478	1	15.722	1
									   43.00	1	  0.558	1	  0.563	1	  1.01	1	263.4	1	 1.6614	1	  0.0883	1	105.43	1	 0.5575	1	15.609	1	35.865	1	26.504	1	15.615	1
									   45.00	1	  0.561	1	  0.569	1	  1.26	1	264.1	1	 1.7953	1	  0.0911	1	105.50	1	 0.5612	1	15.505	1	35.858	1	26.521	1	15.512	1
									   47.00	1	  0.568	1	  0.576	1	  1.37	1	263.7	1	 1.8461	1	  0.0925	1	104.99	1	 0.5676	1	15.342	1	35.855	1	26.556	1	15.349	1
									   49.00	1	  0.570	1	  0.580	1	  1.55	1	264.0	1	 1.9185	1	  0.0957	1	104.81	1	 0.5702	1	15.202	1	35.864	1	26.594	1	15.210	1
									   51.00	1	  0.573	1	  0.583	1	  1.88	1	264.6	1	 2.0370	1	  0.1001	1	104.90	1	 0.5724	1	15.116	1	35.869	1	26.617	1	15.123	1
									   53.00	1	  0.567	1	  0.578	1	  1.75	1	263.9	1	 1.9927	1	  0.0990	1	104.43	1	 0.5670	1	15.030	1	35.869	1	26.637	1	15.038	1
									   55.00	1	  0.560	1	  0.571	1	  1.69	1	263.8	1	 1.9706	1	  0.1009	1	104.23	1	 0.5600	1	14.954	1	35.865	1	26.650	1	14.962	1
