
Cruise	Station	Type	yyyy-mm-ddThh:mm:ss.sss	Longitude [degrees_east]	Latitude [degrees_north]	LOCAL_CDI_ID	EDMO_code	Bot. Depth [m]	Pres_Z [dbar]	QV:SEADATANET	Atten_red [/m]	QV:SEADATANET	chl-a_water_ISfluor [mg/m^3]	QV:SEADATANET	AqVolt [V]	QV:SEADATANET	DwIrr_2-piPAR [uE/m^2/s]	QV:SEADATANET	UwIrr_2-piPAR [uE/m^2/s]	QV:SEADATANET	PMLDWIRVolt [V]	QV:SEADATANET	PMLUWIRVolt [V]	QV:SEADATANET	STNephV [V]	QV:SEADATANET	PotAtten [/m]	QV:SEADATANET	WC_Potemp [degC]	QV:SEADATANET	P_sal_CTD [Dmnless]	QV:SEADATANET	SigTheta [kg/m^3]	QV:SEADATANET	WC_temp_CTD [degC]	QV:SEADATANET
CD114A	CTD38	*	1998-08-09T07:07:00.000	-9.326	41.9127	867601	43	169.4	    1.00	1	  0.593	1	  0.43	1	 1.3938	1	  87.24	1	   1.47	1	-0.2432	1	 0.5552	1	  0.0688	1	 0.5931	1	17.789	1	35.672	1	25.840	1	17.789	1
									    3.00	1	  0.574	1	  0.44	1	 1.4046	1	  62.93	1	   1.23	1	-0.1758	1	 0.5905	1	  0.0707	1	 0.5737	1	17.599	1	35.678	1	25.891	1	17.600	1
									    5.00	1	  0.557	1	  0.49	1	 1.4507	1	  47.39	1	   1.09	1	-0.1206	1	 0.6154	1	  0.0713	1	 0.5572	1	16.958	1	35.679	8	26.046	1	16.959	1
									    7.00	1	  0.558	1	  0.42	1	 1.3834	1	  35.93	1	   0.96	1	-0.0651	1	 0.6410	1	  0.0747	8	 0.5579	1	16.670	1	35.680	1	26.116	1	16.672	1
									    9.00	1	  0.561	1	  0.50	1	 1.4553	1	  28.87	1	   0.85	1	-0.0217	1	 0.6654	1	  0.0780	1	 0.5608	1	16.535	1	35.678	1	26.146	1	16.536	1
									   11.00	1	  0.560	1	  0.56	1	 1.5075	1	  23.34	1	   0.73	1	 0.0207	1	 0.6953	1	  0.0782	1	 0.5596	1	16.427	1	35.677	1	26.171	1	16.428	1
									   13.00	1	  0.549	1	  0.40	1	 1.3650	1	  18.85	1	   0.62	1	 0.0634	1	 0.7295	1	  0.0747	1	 0.5490	1	16.350	1	35.682	1	26.192	1	16.352	1
									   15.00	1	  0.536	1	  0.50	1	 1.4540	1	  16.02	1	   0.54	1	 0.0960	1	 0.7569	1	  0.0727	1	 0.5364	1	16.230	1	35.684	1	26.222	1	16.232	1
									   17.00	1	  0.546	1	  0.64	1	 1.5727	1	  13.51	1	   0.48	1	 0.1298	1	 0.7817	1	  0.0873	1	 0.5463	1	16.131	1	35.676	1	26.239	1	16.134	1
									   19.00	1	  0.582	1	  0.50	1	 1.4623	1	  11.35	1	   0.41	1	 0.1651	1	 0.8134	1	  0.1025	1	 0.5817	1	16.030	1	35.683	1	26.267	1	16.033	1
									   21.00	1	  0.625	1	  0.66	1	 1.5931	1	   9.42	1	   0.34	1	 0.2022	1	 0.8510	1	  0.1201	1	 0.6246	1	15.958	1	35.685	1	26.285	1	15.962	1
									   23.00	1	  0.620	1	  0.79	1	 1.6930	1	   7.82	1	   0.27	1	 0.2394	1	 0.8931	1	  0.1124	1	 0.6198	1	15.884	1	35.681	1	26.299	1	15.888	1
									   25.00	1	  0.611	1	  1.03	1	 1.8491	1	   6.46	1	   0.22	1	 0.2776	1	 0.9350	1	  0.1103	1	 0.6109	1	15.834	1	35.686	1	26.314	1	15.838	1
									   27.00	1	  0.613	1	  0.87	1	 1.7423	1	   5.19	1	   0.17	1	 0.3215	1	 0.9873	1	  0.1050	1	 0.6132	1	15.801	1	35.688	1	26.324	1	15.805	1
									   29.00	1	  0.609	1	  0.95	1	 1.7970	1	   4.30	1	   0.14	1	 0.3590	1	 1.0339	1	  0.0997	1	 0.6089	1	15.657	1	35.685	1	26.354	1	15.662	1
									   31.00	1	  0.599	1	  0.99	1	 1.8249	1	   3.59	1	   0.11	1	 0.3949	1	 1.0790	1	  0.0938	1	 0.5990	1	15.582	1	35.701	1	26.384	1	15.587	1
									   33.00	1	  0.608	1	  1.10	1	 1.8940	1	   2.94	1	    	9	 0.4354	1	 1.1321	1	  0.1005	1	 0.6080	1	15.482	1	35.692	1	26.399	1	15.488	1
									   35.00	1	  0.610	1	  1.19	1	 1.9451	1	   2.50	1	    	9	 0.4674	1	 1.1797	1	  0.1006	1	 0.6099	1	15.416	1	35.693	1	26.415	1	15.421	1
									   37.00	1	  0.614	1	  1.02	1	 1.8436	1	   2.05	1	    	9	 0.5071	1	 1.2454	1	  0.1053	1	 0.6141	1	15.386	1	35.703	1	26.429	1	15.392	1
									   39.00	1	  0.604	1	  1.05	1	 1.8613	1	   1.68	1	    	9	 0.5467	1	 1.3194	1	  0.0996	1	 0.6037	1	15.274	1	35.704	1	26.455	1	15.280	1
									   41.00	1	  0.552	1	  0.97	1	 1.8133	1	   1.33	1	    	9	 0.5943	1	 1.4261	1	  0.0840	1	 0.5522	1	15.091	1	35.720	8	26.508	1	15.097	1
									   43.00	1	  0.524	1	  1.09	1	 1.8822	1	   1.10	1	    	9	 0.6316	1	 1.5423	1	  0.0762	1	 0.5242	1	14.930	1	35.736	1	26.556	1	14.937	1
									   45.00	1	  0.519	1	  0.96	1	 1.8033	1	   0.96	1	    	9	 0.6578	1	 1.6712	1	  0.0758	1	 0.5186	1	14.832	1	35.737	8	26.578	1	14.839	1
									   47.00	1	  0.514	1	  0.77	1	 1.6772	1	   0.82	1	    	9	 0.6909	1	 1.9723	1	  0.0742	1	 0.5142	1	14.801	1	35.737	1	26.585	1	14.808	1
									   49.00	1	  0.508	1	  0.80	1	 1.6955	1	   0.70	1	    	9	 0.7231	1	 2.6623	1	  0.0708	1	 0.5082	1	14.760	1	35.742	1	26.598	1	14.767	1
									   51.00	1	  0.502	1	  0.58	1	 1.5276	1	   0.60	1	    	9	 0.7538	1	 2.8624	1	  0.0731	1	 0.5019	1	14.708	1	35.743	1	26.610	1	14.716	1
									   53.00	1	  0.493	1	  0.51	1	 1.4613	1	   0.51	1	    	9	 0.7848	1	 2.8752	1	  0.0697	1	 0.4927	1	14.682	1	35.744	1	26.617	1	14.689	1
									   55.00	1	  0.474	1	  0.56	1	 1.5151	1	   0.45	1	    	9	 0.8113	1	 2.8833	1	  0.0632	1	    	9	   	9	   	9	   	9	14.575	1
									   57.00	1	  0.466	1	  0.47	1	 1.4274	1	   0.39	1	    	9	 0.8393	1	 2.8900	1	  0.0627	1	    	9	   	9	   	9	   	9	14.462	1
									   59.00	1	  0.454	1	  0.37	1	 1.3379	1	   0.34	1	    	9	 0.8664	1	 2.8953	1	  0.0604	1	    	9	   	9	   	9	   	9	14.283	1
									   61.00	1	  0.452	1	  0.36	1	 1.3177	1	   0.30	1	    	9	 0.8935	1	 2.9000	1	  0.0598	1	    	9	   	9	   	9	   	9	14.164	1
									   63.00	1	  0.452	1	  0.37	1	 1.3342	1	   0.25	1	    	9	 0.9239	1	 2.9042	1	  0.0587	1	 0.4522	1	14.110	1	35.763	1	26.755	1	14.120	1
									   65.00	1	  0.451	1	  0.41	1	 1.3731	1	   0.22	1	    	9	 0.9503	1	 2.9071	1	  0.0611	1	 0.4512	1	14.055	1	35.752	1	26.758	1	14.064	1
									   67.00	1	  0.451	1	  0.33	1	 1.2923	1	   0.20	1	    	9	 0.9753	1	 2.9098	1	  0.0635	1	 0.4513	1	13.994	1	35.752	1	26.770	1	14.004	1
									   69.00	1	  0.450	1	  0.33	1	 1.2882	1	   0.17	1	    	9	 1.0055	1	 2.9119	1	  0.0617	1	 0.4502	1	13.987	1	35.745	1	26.766	1	13.997	1
									   71.00	1	  0.450	1	  0.55	1	 1.5003	1	   0.15	1	    	9	 1.0362	1	 2.9141	1	  0.0581	1	 0.4500	1	13.972	1	35.745	1	26.770	1	13.982	1
									   73.00	1	  0.446	1	  0.59	1	 1.5326	1	   0.13	1	    	9	 1.0617	1	 2.9150	1	  0.0589	1	 0.4458	1	13.935	1	35.747	1	26.779	1	13.946	1
									   75.00	1	  0.443	1	  0.46	1	 1.4156	1	   0.11	1	    	9	 1.0891	1	 2.9170	1	  0.0598	1	 0.4432	1	13.850	1	35.761	8	26.808	1	13.861	1
									   77.00	1	  0.440	1	  0.31	1	 1.2661	1	   0.10	1	    	9	 1.1168	1	 2.9175	1	  0.0571	1	 0.4399	1	13.813	1	35.774	1	26.826	1	13.824	1
									   79.00	1	  0.434	1	  0.27	1	 1.2225	1	    	9	    	9	 1.1438	1	 2.9184	1	  0.0566	1	 0.4340	1	13.680	1	35.774	1	26.854	1	13.691	1
									   81.00	1	  0.432	1	  0.17	1	 1.1014	1	    	9	    	9	 1.1689	1	 2.9199	1	  0.0605	1	 0.4316	1	13.586	1	35.777	1	26.875	1	13.597	1
									   83.00	1	  0.431	1	  0.19	1	 1.1297	1	    	9	    	9	 1.1985	1	 2.9199	1	  0.0680	1	 0.4308	1	13.522	1	35.780	1	26.891	1	13.534	1
									   85.00	1	  0.430	1	  0.21	1	 1.1588	1	    	9	    	9	 1.2282	1	 2.9204	1	  0.0652	1	 0.4294	1	13.443	1	35.775	1	26.904	1	13.455	1
									   87.00	1	  0.431	1	  0.26	1	 1.2114	1	    	9	    	9	 1.2530	1	 2.9221	1	  0.0661	1	 0.4306	1	13.382	1	35.778	1	26.919	1	13.394	1
									   89.00	1	  0.431	1	  0.29	1	 1.2450	1	    	9	    	9	 1.2871	1	 2.9224	1	  0.0681	1	 0.4312	1	13.327	1	35.787	1	26.937	1	13.339	1
									   91.00	1	  0.431	1	  0.13	1	 1.0408	1	    	9	    	9	 1.3185	1	 2.9224	1	  0.0711	1	 0.4307	1	13.309	1	35.774	1	26.930	1	13.322	1
									   93.00	1	  0.431	1	  0.09	1	 0.9966	1	    	9	    	9	 1.3451	1	 2.9224	1	  0.0743	1	 0.4304	1	13.271	1	35.773	1	26.938	1	13.284	1
									   95.00	1	  0.431	1	  0.16	1	 1.0885	1	    	9	    	9	 1.3743	1	 2.9231	1	  0.0718	1	 0.4306	1	13.269	1	35.775	1	26.940	1	13.283	1
									   97.00	1	  0.435	1	  0.15	1	 1.0794	1	    	9	    	9	 1.4156	1	 2.9248	1	  0.0789	1	 0.4350	1	13.217	1	35.774	1	26.950	1	13.231	1
									   99.00	1	  0.443	1	  0.20	1	 1.1429	1	    	9	    	9	 1.4619	1	 2.9248	1	  0.0900	1	 0.4423	1	13.115	1	35.779	1	26.974	1	13.129	1
									  101.00	1	  0.446	1	  0.17	1	 1.1028	1	    	9	    	9	 1.5077	1	 2.9248	1	  0.0897	1	 0.4454	1	13.086	1	35.768	1	26.972	1	13.101	1
									  103.00	1	  0.447	1	  0.24	1	 1.1912	1	    	9	    	9	 1.5546	1	 2.9248	1	  0.0908	1	 0.4469	1	13.056	1	35.772	1	26.980	1	13.070	1
									  105.00	1	  0.455	1	  0.23	1	 1.1813	1	    	9	    	9	 1.6179	1	 2.9248	1	  0.1097	1	 0.4550	1	12.969	1	35.777	1	27.002	1	12.984	1
									  107.00	1	  0.474	1	  0.13	1	 1.0498	1	    	9	    	9	 1.6851	1	 2.9248	1	  0.1332	1	 0.4734	1	12.783	1	35.762	1	27.028	1	12.797	1
									  109.00	1	  0.474	1	  0.14	1	 1.0695	1	    	9	    	9	 1.7945	1	 2.9259	1	  0.1288	1	 0.4742	1	12.669	1	35.766	1	27.054	1	12.683	1
									  111.00	1	  0.468	1	  0.32	1	 1.2775	1	    	9	    	9	 1.9672	1	 2.9272	1	  0.1215	1	 0.4681	1	12.591	1	35.747	1	27.055	1	12.607	1
									  113.00	1	  0.468	1	  0.21	1	 1.1472	1	    	9	    	9	 2.2377	1	 2.9272	1	  0.1239	1	 0.4681	1	12.576	1	35.718	1	27.035	1	12.591	1
									  115.00	1	  0.468	1	  0.40	1	 1.3669	1	    	9	    	9	 2.5985	1	 2.9272	1	  0.1205	1	 0.4678	1	12.569	1	35.719	1	27.037	1	12.585	1
									  117.00	1	  0.465	1	  0.07	1	 0.9657	1	    	9	    	9	 2.6609	1	 2.9272	1	  0.1140	1	 0.4651	1	12.562	1	35.720	1	27.040	1	12.578	1
									  119.00	1	  0.463	1	  0.28	1	 1.2315	1	    	9	    	9	 2.6745	1	 2.9272	1	  0.1169	1	 0.4625	1	12.548	1	35.717	1	27.040	1	12.564	1
									  121.00	1	  0.463	1	  0.20	1	 1.1314	1	    	9	    	9	 2.6849	1	 2.9272	1	  0.1192	1	 0.4623	1	12.536	1	35.714	1	27.040	1	12.553	1
									  123.00	1	  0.462	1	  0.02	1	 0.8929	1	    	9	    	9	 2.6932	1	 2.9272	1	  0.1129	1	 0.4620	1	12.526	1	35.717	1	27.044	1	12.542	1
									  125.00	1	  0.464	1	  0.18	1	 1.1122	1	    	9	    	9	 2.6990	1	 2.9272	1	  0.1207	1	 0.4642	1	12.512	1	35.718	1	27.048	1	12.528	1
									  127.00	1	  0.469	1	  0.21	1	 1.1510	1	    	9	    	9	 2.7035	1	 2.9274	1	  0.1300	1	 0.4690	1	12.502	1	35.712	1	27.045	1	12.519	1
									  129.00	1	  0.472	1	  0.08	1	 0.9757	1	    	9	    	9	 2.7086	1	 2.9286	1	  0.1325	1	 0.4715	1	12.500	1	35.713	1	27.046	1	12.517	1
									  131.00	1	  0.473	1	  0.11	1	 1.0215	1	    	9	    	9	 2.7130	1	 2.9297	1	  0.1389	1	 0.4731	1	12.498	1	35.712	1	27.046	1	12.516	1
									  133.00	1	  0.476	1	  0.12	1	 1.0380	1	    	9	    	9	 2.7161	1	 2.9297	1	  0.1396	1	 0.4757	1	12.494	1	35.710	1	27.045	1	12.512	1
									  135.00	1	  0.470	1	  0.26	1	 1.2062	1	    	9	    	9	 2.7194	1	 2.9297	1	  0.1245	1	 0.4695	1	12.461	1	35.710	1	27.052	1	12.479	1
									  137.00	1	  0.454	1	  0.26	1	 1.2137	1	    	9	    	9	 2.7226	1	 2.9297	1	  0.1028	1	 0.4536	1	12.409	1	35.712	1	27.064	1	12.427	1
									  139.00	1	  0.456	1	  0.15	1	 1.0700	1	    	9	    	9	 2.7246	1	 2.9297	1	  0.1189	1	 0.4560	1	12.342	1	35.710	1	27.075	1	12.361	1
									  141.00	1	  0.486	1	  0.19	8	 1.1287	8	    	9	    	9	 2.7267	1	 2.9297	1	  0.1569	1	 0.4853	1	12.297	1	35.696	1	27.073	1	12.316	1
									  143.00	1	  0.495	1	  0.24	1	 1.1873	1	    	9	    	9	 2.7289	1	 2.9297	1	  0.1744	1	 0.4943	1	12.284	1	35.692	1	27.072	1	12.303	1
									  145.00	1	  0.493	1	  0.18	1	 1.1126	1	    	9	    	9	 2.7305	1	 2.9297	1	  0.1781	1	 0.4924	1	12.280	1	35.689	1	27.071	1	12.300	1
									  147.00	1	  0.488	1	  0.10	1	 1.0110	1	    	9	    	9	 2.7320	1	 2.9297	1	  0.1633	1	 0.4880	1	12.275	1	35.690	1	27.072	1	12.294	1
									  149.00	1	  0.488	1	  0.22	1	 1.1617	1	    	9	    	9	 2.7340	1	 2.9297	1	  0.1759	1	 0.4873	1	12.272	1	35.689	1	27.072	1	12.292	1
									  151.00	1	  0.487	1	  0.19	1	 1.1170	1	    	9	    	9	 2.7379	1	 2.9324	1	  0.1663	1	 0.4871	1	12.261	1	35.689	1	27.074	1	12.281	1
